Dato,Resultat,Modstander,Spillested,Kamptype,Køn,Hold,Tilskuere,date
02-07-1991,1 - 0,Finland,NA,Open Nordic Cup,Kvinder,U17-landshold,0,1991-07-02
02-07-1993,1 - 1,Finland,NA,Open Nordic Cup,Kvinder,U17-landshold,0,1993-07-02
02-07-1996,2 - 1,Island,NA,Nordic Cup,Kvinder,U17-landshold,0,1996-07-02
02-07-2002,2 - 1,Tyskland,NA,Nordic Cup,Kvinder,U17-landshold,0,2002-07-02
02-07-2003,0 - 0,Holland,NA,Nordic Cup,Kvinder,U17-landshold,0,2003-07-02
02-07-2004,0 - 2,Frankrig,Espelunden Stadion,Nordic Cup,Kvinder,U17-landshold,0,2004-07-02
02-07-2007,0 - 0,Frankrig,Ottestad Stadion,Nordic Cup,Kvinder,U17-landshold,75,2007-07-02
02-07-2008,0 - 3,USA,Høje Bøge Stadion,Uofficiel landskamp,Kvinder,U19-landshold,578,2008-07-02
02-07-2009,0 - 2,Finland,Björnevi Stadion,Nordic Cup,Kvinder,U16-landshold,260,2009-07-02
02-07-2012,1 - 0,Rumænien,Titanic Stadium,EM-slutrunde,Kvinder,U19-landshold,0,2012-07-02
02-07-2013,3 - 0,Sverige,Fjölnisvöllur,Nordic Cup,Kvinder,U16-landshold,45,2013-07-02
02-07-2015,1 - 1,England,Nr. Aaby Stadion,Nordic Cup,Kvinder,U16-landshold,312,2015-07-02
02-07-2017,0 - 0,Holland,NA,Nordic Cup,Kvinder,U16-landshold,0,2017-07-02
